o_time,longitud,latitud,profundidad, nro_est, rms, gap, modelo_vel, error_longitud,error_latitud,error_prof, operador,the_mags
2020-12-18 02:55:19, -67.128, -23.383, 238.3, 10, 0.3, 283, Q, 11.3, 3.4, 12.7, thor, 3.0 L 
2020-12-18 08:41:04, -71.245, -33.051, 62.4, 37, 0.3, 92, 3, 1.6, 1.0, 1.6, eatl, 3.8 L 
2020-12-19 04:43:42, -67.063, -21.383, 264.2, 14, 0.3, 257, 0, 24.3, 5.1, 17.0, caro, 3.6 L 
2020-12-19 05:26:29, -67.120, -23.945, 236.1, 9, 0.3, 299, Q, 8.2, 6.6, 9.8, caro, 3.5 L 
2020-12-19 05:42:06, -68.457, -21.617, 128.1, 12, 0.3, 218, p, 9.3, 3.4, 9.0, caro, 3.0 L 
2020-12-19 07:20:30, -70.097, -31.909, 129.6, 28, 0.3, 177, C, 3.9, 1.2, 4.0, Jere, 3.8 L 
2020-12-19 09:04:50, -70.803, -29.479, 65.0, 14, 0.3, 81, C, 2.6, 1.3, 2.9, Jere, 3.5 L 
2020-12-19 10:38:58, -72.517, -28.754, 23.5, 11, 0.3, 294,  , 8.4, 4.2, 8.5, Jere, 4.8 L 4.6 Mw 
2020-12-19 11:14:04, -71.729, -34.806, 42.5, 26, 0.3, 109, C, 2.8, 1.8, 2.5, caro, 3.4 L 
2020-12-19 12:27:38, -70.977, -18.471, 30.6, 6, 0.3, 296, 1, 5.6, 4.5, 4.8, mabs, 3.0 L 
2020-12-19 13:38:34, -69.702, -29.470, 135.3, 9, 0.2, 227, 3, 7.1, 2.0, 4.6, tark, 3.5 L 
2020-12-19 14:37:51, -68.811, -22.031, 107.0, 10, 0.3, 184, p, 6.2, 2.6, 6.5, mabs, 3.0 L 
2020-12-19 15:47:08, -80.220, -44.635, 10.0, 15, 0.3, 297,  , 15.3, 10.2, 0.0, tito, 5.2 W 5.2 Mw 
2020-12-19 15:47:00, -80.812, -44.225, 10.0, , , , , , , , PYTH, 5.2 W 
2020-12-19 18:36:36, -71.737, -32.250, 43.9, 17, 0.3, 189, 4, 3.3, 1.3, 2.4, mabs, 3.7 L 
2020-12-19 23:18:38, -71.620, -34.151, 50.1, 25, 0.2, 140, J, 1.5, 1.0, 1.7, cris, 3.1 L 
2020-12-20 00:36:51, -67.780, -22.064, 217.1, 13, 0.3, 241, Q, 16.8, 4.6, 15.6, caro, 3.2 L 
2020-12-20 02:33:29, -68.876, -20.867, 99.8, 16, 0.3, 213, p, 4.9, 1.7, 5.0, caro, 3.1 L 
2020-12-20 05:58:05, -71.283, -30.148, 66.8, 12, 0.3, 140, 3, 2.8, 1.6, 3.2, caro, 3.0 L 
2020-12-20 06:01:08, -71.226, -28.055, 30.7, 12, 0.3, 218, 0, 4.5, 2.1, 4.6, caro, 3.1 L 
2020-12-20 06:28:34, -72.196, -30.334, 33.7, 16, 0.3, 230, 3, 5.5, 1.8, 5.7, caro, 3.3 L 
2020-12-20 06:51:20, -69.271, -19.610, 107.6, 18, 0.3, 124, p, 3.1, 1.4, 3.6, Jere, 3.7 L 
2020-12-20 09:04:28, -67.054, -23.150, 241.4, 11, 0.3, 283, Q, 6.9, 3.5, 9.0, Jere, 4.3 L 
2020-12-20 10:41:03, -68.482, -21.090, 150.7, 10, 0.3, 237, p, 9.0, 2.3, 7.8, Jere, 3.0 L 
2020-12-20 22:20:04, -68.698, -22.000, 118.7, 14, 0.2, 165, p, 2.8, 1.8, 5.1, cris, 3.6 L 
2020-12-20 23:36:05, -68.811, -22.665, 110.7, 13, 0.3, 123, p, 3.2, 2.1, 4.9, mabs, 4.9 L 4.9 Mw 
2020-12-21 06:28:32, -70.686, -33.155, 91.4, 37, 0.3, 101, 3, 1.8, 0.9, 1.6, Jere, 4.2 L 
2020-12-21 06:34:46, -71.715, -30.745, 34.3, 21, 0.3, 222, 3, 4.1, 1.8, 3.0, caro, 3.4 L 
2020-12-21 08:29:49, -67.694, -24.169, 237.8, 7, 0.3, 312, Q, 19.5, 9.2, 28.6, Jere, 3.6 L 
2020-12-21 08:58:43, -74.631, -38.493, 35.0, 9, 0.2, 245, J, 4.3, 1.1, 0.0, Jere, 3.5 L 
2020-12-21 12:43:21, -69.102, -20.855, 104.0, 12, 0.2, 192, p, 3.2, 1.3, 3.1, tark, 3.0 L 
2020-12-21 14:14:56, -68.802, -21.997, 122.1, 15, 0.3, 155, Q, 3.4, 2.0, 4.7, cris, 4.1 L 
2020-12-21 17:41:35, -70.677, -25.696, 38.3, 5, 0.3, 200, Q, 9.1, 1.6, 5.6, tark, 3.4 L 
2020-12-21 23:16:02, -69.089, -20.068, 93.0, 14, 0.3, 198, p, 3.6, 1.4, 3.2, cris, 3.1 L 
2020-12-22 01:55:55, -67.325, -24.400, 171.2, 12, 0.3, 130, 0, 4.4, 6.2, 10.2, caro, 3.6 L 4.1 Mw 
2020-12-22 02:57:21, -66.876, -23.907, 213.4, 13, 0.3, 151,  , 3.0, 2.9, 6.4, tito, 4.0 L 4.2 Mw 
2020-12-22 04:12:16, -67.718, -22.720, 201.4, 10, 0.2, 255, p, 6.9, 2.2, 8.1, Jere, 3.4 L 
2020-12-22 04:35:21, -70.197, -33.158, 122.5, 28, 0.3, 163, 3, 2.9, 1.5, 2.5, Jere, 3.1 L 
2020-12-22 07:38:12, -71.544, -32.312, 28.7, 29, 0.3, 196, C, 4.1, 1.9, 5.6, caro, 3.7 L 
2020-12-22 07:45:49, -68.845, -21.224, 105.3, 14, 0.3, 216, p, 6.6, 2.0, 5.6, caro, 3.5 L 
2020-12-22 07:46:47, -69.773, -19.901, 61.7, 9, 0.3, 115, p, 3.7, 3.4, 5.8, caro, 3.1 L 
